devontown,agenew,count(borrower)
Axminster,24,46
Axminster,25,36
Axminster,26,37
Axminster,27,34
Axminster,28,98
Axminster,29,41
Axminster,3,51
Axminster,30,31
Axminster,31,36
Axminster,32,39
Axminster,33,37
Axminster,34,31
Axminster,35,54
Axminster,36,37
Axminster,37,42
Axminster,38,36
Axminster,39,33
Axminster,4,64
Axminster,40,47
Axminster,41,36
Axminster,42,61
Axminster,43,36
Axminster,44,46
Axminster,45,61
Axminster,46,54
Axminster,47,53
Axminster,48,42
Axminster,49,36
Axminster,5,70
Axminster,50,40
Axminster,51,50
Axminster,52,51
Axminster,53,37
Axminster,54,45
Axminster,55,29
Axminster,56,35
Axminster,57,37
Axminster,58,15
Axminster,59,36
Axminster,6,80
Axminster,60,42
Axminster,61,44
Axminster,62,45
Axminster,63,49
Axminster,64,37
Axminster,65,48
Axminster,66,58
Axminster,67,56
Axminster,68,45
Axminster,69,83
Axminster,7,81
Axminster,70,59
Axminster,71,50
Axminster,72,46
Axminster,73,39
Axminster,74,49
Axminster,75,36
Axminster,76,33
Axminster,77,31
Axminster,78,28
Axminster,79,29
Axminster,8,98
Axminster,80,26
Axminster,81,18
Axminster,82,11
Axminster,83,12
Axminster,84,13
Axminster,85,15
Axminster,86,14
Axminster,87,10
Axminster,88,6
Axminster,89,8
Axminster,9,96
Axminster,90,8
Axminster,91,4
Axminster,92,4
Axminster,93,6
Axminster,94,1
Axminster,95,1
Axminster,96,3
Axminster,97,1
Axminster,99,1
Barnstaple,,1277
Barnstaple,0,27
Barnstaple,1,66
Barnstaple,10,370
Barnstaple,102,2
Barnstaple,106,1
Barnstaple,11,333
Barnstaple,113,2
Barnstaple,114,3
Barnstaple,115,2
Barnstaple,116,3
Barnstaple,12,367
Barnstaple,13,293
Barnstaple,14,271
Barnstaple,15,234
Barnstaple,16,213
Barnstaple,17,207
Barnstaple,18,250
Barnstaple,19,230
Barnstaple,2,126
Barnstaple,20,242
Barnstaple,21,194
Barnstaple,22,258
Barnstaple,23,220
Barnstaple,24,214
Barnstaple,25,262
Barnstaple,26,278
Barnstaple,27,264
Barnstaple,28,280
Barnstaple,29,278
Barnstaple,3,190
Barnstaple,30,279
Barnstaple,31,252
Barnstaple,32,256
Barnstaple,33,260
Barnstaple,34,240
Barnstaple,35,237
Barnstaple,36,228
Barnstaple,37,226
Barnstaple,38,233
Barnstaple,39,230
Barnstaple,4,264
Barnstaple,40,226
Barnstaple,41,201
Barnstaple,42,192
Barnstaple,43,198
Barnstaple,44,225
Barnstaple,45,230
Barnstaple,46,219
Barnstaple,47,225
Barnstaple,48,199
Barnstaple,49,207
Barnstaple,5,277
Barnstaple,50,166
Barnstaple,51,180
Barnstaple,52,182
Barnstaple,53,179
Barnstaple,54,147
Barnstaple,55,128
Barnstaple,56,174
Barnstaple,57,141
Barnstaple,58,137
Barnstaple,59,108
Barnstaple,6,328
Barnstaple,60,142
Barnstaple,61,134
Barnstaple,62,139
Barnstaple,63,146
Barnstaple,64,144
Barnstaple,65,160
Barnstaple,66,124
Barnstaple,67,186
Barnstaple,68,167
Barnstaple,69,199
Barnstaple,7,340
Barnstaple,70,172
Barnstaple,71,140
Barnstaple,72,148
Barnstaple,73,148
Barnstaple,74,126
Barnstaple,75,103
Barnstaple,76,88
Barnstaple,77,99
Barnstaple,78,86
Barnstaple,79,91
Barnstaple,8,314
Barnstaple,80,88
Barnstaple,81,73
Barnstaple,82,62
Barnstaple,83,54
Barnstaple,84,50
Barnstaple,85,39
Barnstaple,86,47
Barnstaple,87,27
Barnstaple,88,25
Barnstaple,89,25
Barnstaple,9,361
Barnstaple,90,26
Barnstaple,91,22
Barnstaple,92,7
Barnstaple,93,6
Barnstaple,94,8
Barnstaple,95,6
Barnstaple,96,12
Barnstaple,97,5
Barnstaple,98,1
Barnstaple,99,1
Bideford/Northam,,1075
Bideford/Northam,0,14
Bideford/Northam,1,69
Bideford/Northam,10,235
Bideford/Northam,100,2
Bideford/Northam,11,277
Bideford/Northam,115,2
Bideford/Northam,116,6
Bideford/Northam,12,223
Bideford/Northam,13,231
Bideford/Northam,14,186
Bideford/Northam,15,146
Bideford/Northam,16,136
Bideford/Northam,17,150
Bideford/Northam,18,134
Bideford/Northam,19,151
Bideford/Northam,2,100
Bideford/Northam,20,154
Bideford/Northam,21,154
Bideford/Northam,22,155
