imd2015,agenew,count(borrower)
4,39,595
4,4,754
4,40,626
4,41,569
4,42,625
4,43,542
4,44,601
4,45,615
4,46,564
4,47,563
4,48,566
4,49,508
4,5,827
4,50,525
4,51,526
4,52,479
4,53,464
4,54,422
4,55,434
4,56,484
4,57,444
4,58,416
4,59,407
4,6,901
4,60,440
4,61,410
4,62,434
4,63,444
4,64,455
4,65,468
4,66,490
4,67,481
4,68,491
4,69,569
4,7,901
4,70,490
4,71,387
4,72,349
4,73,335
4,74,300
4,75,242
4,76,255
4,77,211
4,78,180
4,79,194
4,8,940
4,80,173
4,81,167
4,82,132
4,83,122
4,84,124
4,85,109
4,86,95
4,87,77
4,88,72
4,89,55
4,9,997
4,90,61
4,91,44
4,92,36
4,93,36
4,94,19
4,95,20
4,96,18
4,97,7
4,98,7
4,99,6
5,,3305
5,0,67
5,1,228
5,10,759
5,100,3
5,101,2
5,102,2
5,103,1
5,104,1
5,105,1
5,106,1
5,11,790
5,112,1
5,113,3
5,114,4
5,115,4
5,116,14
5,12,730
5,13,651
5,14,545
5,15,554
5,16,472
5,17,480
5,18,578
5,19,464
5,2,340
5,20,481
5,21,479
5,22,507
5,23,447
5,24,473
5,25,489
5,26,532
5,27,500
5,28,718
5,29,487
5,3,453
5,30,475
5,31,495
5,32,486
5,33,494
5,34,491
5,35,460
5,36,498
5,37,525
5,38,485
5,39,466
5,4,576
5,40,531
5,41,460
5,42,480
5,43,468
5,44,493
5,45,459
5,46,494
5,47,476
5,48,425
5,49,478
5,5,672
5,50,414
5,51,470
5,52,461
5,53,439
5,54,359
5,55,360
5,56,453
5,57,347
5,58,401
5,59,354
5,6,707
5,60,400
5,61,397
5,62,375
5,63,436
5,64,453
5,65,425
5,66,449
5,67,474
5,68,497
5,69,543
5,7,790
5,70,492
5,71,399
5,72,392
5,73,335
5,74,287
5,75,255
5,76,235
5,77,235
5,78,225
5,79,194
5,8,765
5,80,172
5,81,155
5,82,130
5,83,115
5,84,107
5,85,96
5,86,120
5,87,88
5,88,49
5,89,51
5,9,810
5,90,54
5,91,34
5,92,25
5,93,26
5,94,18
5,95,18
5,96,16
5,97,7
5,98,7
5,99,3
6,,3964
6,0,76
6,1,239
6,10,913
6,100,4
6,101,3
6,102,2
6,103,3
6,104,1
6,105,1
6,11,910
6,112,9
6,113,2
6,114,4
6,115,4
6,116,14
6,12,886
6,13,769
6,14,688
6,15,614
6,16,536
6,17,534
6,18,567
6,19,568
6,2,423
6,20,575
6,21,515
6,22,526
6,23,494
6,24,532
6,25,552
6,26,567
6,27,546
6,28,705
6,29,585
6,3,568
6,30,584
6,31,560
6,32,573
6,33,595
6,34,582
6,35,584
6,36,632
6,37,654
6,38,578
6,39,547
6,4,688
6,40,608
6,41,574
6,42,564
6,43,581
6,44,584
6,45,603
6,46,605
6,47,561
6,48,539
6,49,523
6,5,752
6,50,518
6,51,479
6,52,473
6,53,483
6,54,449
6,55,454
6,56,471
6,57,425
6,58,414
6,59,435
6,6,892
6,60,432
6,61,457
6,62,435
6,63,492
6,64,524
6,65,502
6,66,575
6,67,593
6,68,532
6,69,644
6,7,913
6,70,589
6,71,473
6,72,501
6,73,409
6,74,414
6,75,299
6,76,312
6,77,332
6,78,283
6,79,217
6,8,942
6,80,218
6,81,215
6,82,175
6,83,166
6,84,153
6,85,155
6,86,143
6,87,98
6,88,89
6,89,68
6,9,933
6,90,58
6,91,58
6,92,45
6,93,26
6,94,32
6,95,18
6,96,19
6,97,9
6,98,7
6,99,7
7,,2882
7,0,49
7,1,172
7,10,644
7,100,5
7,101,1
7,102,1
7,11,605
7,112,1
7,113,6
7,114,1
7,115,6
7,116,9
7,12,586
7,13,539
7,14,448
7,15,424
7,16,337
7,17,342
7,18,364
7,19,359
7,2,270
7,20,325
7,21,319
7,22,273
7,23,310
7,24,331
7,25,314
7,26,305
7,27,307
7,28,435
7,29,293
7,3,335
7,30,331
7,31,365
7,32,325
7,33,305
7,34,353
7,35,344
7,36,382
7,37,377
7,38,346
7,39,360
7,4,435
7,40,330
7,41,338
7,42,343
7,43,369
7,44,342
7,45,358
7,46,385
7,47,320
7,48,319
7,49,309
7,5,487
7,50,308
7,51,311
7,52,283
7,53,301
7,54,267
7,55,275
7,56,264
7,57,298
7,58,283
7,59,251
7,6,572
7,60,284
7,61,244
7,62,284
7,63,304
7,64,292
7,65,355
7,66,306
7,67,352
7,68,374
7,69,424
7,7,615
7,70,363
7,71,292
7,72,293
7,73,293
7,74,227
7,75,190
7,76,178
7,77,176
7,78,185
7,79,142
7,8,595
7,80,148
7,81,138
7,82,106
7,83,106
7,84,118
7,85,86
7,86,88
7,87,67
7,88,72
7,89,51
7,9,623
7,90,58
7,91,49
7,92,42
7,93,18
7,94,19
7,95,15
7,96,18
7,97,8
7,98,4
7,99,4
8,,3037
8,0,59
8,1,180
8,10,730
8,100,3
8,105,1
8,106,3
8,11,695
8,112,2
8,113,3
8,114,4
8,115,8
8,116,9
8,12,613
8,13,575
8,14,471
8,15,414
8,16,375
8,17,417
8,18,406
8,19,367
8,2,298
8,20,329
8,21,339
8,22,330
8,23,317
8,24,327
8,25,300
8,26,327
8,27,361
8,28,491
8,29,358
8,3,409
8,30,376
8,31,356
8,32,396
8,33,369
8,34,364
8,35,391
8,36,399
8,37,387
8,38,390
8,39,378
8,4,548
8,40,409
8,41,397
8,42,411
8,43,349
8,44,376
8,45,393
8,46,385
8,47,414
8,48,351
8,49,319
8,5,598
8,50,288
8,51,309
8,52,307
8,53,292
8,54,267
8,55,262
8,56,296
8,57,271
8,58,238
8,59,254
8,6,674
8,60,270
8,61,278
8,62,339
8,63,326
8,64,323
8,65,333
8,66,388
8,67,411
8,68,376
8,69,435
8,7,729
8,70,387
8,71,328
8,72,360
8,73,303
8,74,270
8,75,202
8,76,256
8,77,198
8,78,208
8,79,185
8,8,749
8,80,153
8,81,166
8,82,125
8,83,108
8,84,125
8,85,114
8,86,104
8,87,77
8,88,64
8,89,64
8,9,738
8,90,46
8,91,30
8,92,26
8,93,18
8,94,21
8,95,14
8,96,14
8,97,7
8,98,5
8,99,2
9,,3168
9,0,42
9,1,138
9,10,485
9,100,1
9,105,1
9,106,2
9,11,486
9,114,3
9,115,4
9,116,15
9,12,443
9,13,380
9,14,338
9,15,298
9,16,278
9,17,293
9,18,314
9,19,313
9,2,165
9,20,285
9,21,309
9,22,314
9,23,323
9,24,275
9,25,286
9,26,274
9,27,222
9,28,370
9,29,262
9,3,304
9,30,280
9,31,274
9,32,277
9,33,257
9,34,305
9,35,313
9,36,322
9,37,287
9,38,297
9,39,279
9,4,383
9,40,349
9,41,290
9,42,304
9,43,318
9,44,333
9,45,348
9,46,290
9,47,284
9,48,275
9,49,287
9,5,450
9,50,246
9,51,265
9,52,289
9,53,283
9,54,232
9,55,203
9,56,251
9,57,251
9,58,238
9,59,252
9,6,445
9,60,262
9,61,271
9,62,267
9,63,311
9,64,336
9,65,316
9,66,373
9,67,333
9,68,384
9,69,389
9,7,474
9,70,382
9,71,299
9,72,329
9,73,265
9,74,270
9,75,232
9,76,235
9,77,180
9,78,183
9,79,144
9,8,515
9,80,160
9,81,125
9,82,112
9,83,89
9,84,98
9,85,81
9,86,76
9,87,64
9,88,56
9,89,41
9,9,475
9,90,27
9,91,34
9,92,23
9,93,16
9,94,15
9,95,9
9,96,11
9,97,6
9,98,1
no location,,6310
no location,0,33
no location,1,46
no location,10,58
no location,101,1
no location,11,55
no location,116,6
no location,12,62
no location,13,59
no location,14,58
no location,15,68
no location,16,67
no location,17,79
no location,18,90
no location,19,45
no location,2,44
no location,20,59
no location,21,52
no location,22,56
no location,23,68
no location,24,76
no location,25,65
no location,26,81
no location,27,75
no location,28,86
no location,29,63
no location,3,56
no location,30,54
no location,31,57
no location,32,47
no location,33,58
no location,34,49
no location,35,50
no location,36,57
no location,37,39
no location,38,34
no location,39,42
no location,4,61
no location,40,49
no location,41,33
no location,42,34
no location,43,50
no location,44,51
no location,45,37
no location,46,49
no location,47,37
no location,48,37
no location,49,48
no location,5,46
no location,50,61
no location,51,51
no location,52,43
no location,53,52
no location,54,52
no location,55,45
no location,56,61
no location,57,62
no location,58,46
no location,59,56
no location,6,67
no location,60,53
no location,61,49
no location,62,64
no location,63,41
no location,64,64
no location,65,54
no location,66,66
no location,67,57
no location,68,57
no location,69,65
no location,7,58
no location,70,44
no location,71,45
no location,72,42
no location,73,34
no location,74,35
no location,75,27
no location,76,35
no location,77,17
no location,78,17
no location,79,14
no location,8,58
no location,80,23
no location,81,24
no location,82,16
no location,83,5
no location,84,7
no location,85,8
no location,86,9
no location,87,9
no location,88,5
no location,89,6
no location,9,39
no location,90,7
no location,91,6
no location,92,5
no location,93,1
no location,94,4
no location,95,1
no location,96,4
no location,97,1
