name,agenew,count(borrower)
BAMPTON,82,5
BAMPTON,83,2
BAMPTON,84,3
BAMPTON,85,2
BAMPTON,86,3
BAMPTON,87,1
BAMPTON,9,12
BAMPTON,90,3
BAMPTON,91,2
BAMPTON,98,1
BARNSTAPLE,,1942
BARNSTAPLE,0,34
BARNSTAPLE,1,90
BARNSTAPLE,10,430
BARNSTAPLE,102,3
BARNSTAPLE,11,410
BARNSTAPLE,112,1
BARNSTAPLE,113,2
BARNSTAPLE,114,2
BARNSTAPLE,115,3
BARNSTAPLE,116,8
BARNSTAPLE,12,418
BARNSTAPLE,13,346
BARNSTAPLE,14,320
BARNSTAPLE,15,286
BARNSTAPLE,16,274
BARNSTAPLE,17,251
BARNSTAPLE,18,337
BARNSTAPLE,19,280
BARNSTAPLE,2,165
BARNSTAPLE,20,342
BARNSTAPLE,21,293
BARNSTAPLE,22,377
BARNSTAPLE,23,340
BARNSTAPLE,24,315
BARNSTAPLE,25,367
BARNSTAPLE,26,381
BARNSTAPLE,27,375
BARNSTAPLE,28,411
BARNSTAPLE,29,369
BARNSTAPLE,3,234
BARNSTAPLE,30,400
BARNSTAPLE,31,379
BARNSTAPLE,32,345
BARNSTAPLE,33,361
BARNSTAPLE,34,353
BARNSTAPLE,35,319
BARNSTAPLE,36,311
BARNSTAPLE,37,329
BARNSTAPLE,38,315
BARNSTAPLE,39,317
BARNSTAPLE,4,326
BARNSTAPLE,40,311
BARNSTAPLE,41,297
BARNSTAPLE,42,297
BARNSTAPLE,43,280
BARNSTAPLE,44,318
BARNSTAPLE,45,316
BARNSTAPLE,46,289
BARNSTAPLE,47,310
BARNSTAPLE,48,272
BARNSTAPLE,49,268
BARNSTAPLE,5,361
BARNSTAPLE,50,235
BARNSTAPLE,51,265
BARNSTAPLE,52,256
BARNSTAPLE,53,241
BARNSTAPLE,54,228
BARNSTAPLE,55,206
BARNSTAPLE,56,236
BARNSTAPLE,57,212
BARNSTAPLE,58,213
BARNSTAPLE,59,177
BARNSTAPLE,6,406
BARNSTAPLE,60,217
BARNSTAPLE,61,197
BARNSTAPLE,62,217
BARNSTAPLE,63,204
BARNSTAPLE,64,214
BARNSTAPLE,65,230
BARNSTAPLE,66,191
BARNSTAPLE,67,262
BARNSTAPLE,68,234
BARNSTAPLE,69,271
BARNSTAPLE,7,421
BARNSTAPLE,70,249
BARNSTAPLE,71,190
BARNSTAPLE,72,191
